population,minimum_age,maximum_age,gender,zipcode,geo_id
11,25,29,male,76827,8600000US76827
12,55,59,female,12416,8600000US12416
12,18,19,male,14720,8600000US14720
12,60,61,female,25502,8600000US25502
12,30,34,female,38744,8600000US38744
12,75,79,male,52650,8600000US52650
12,15,17,female,54550,8600000US54550
12,22,24,female,58621,8600000US58621
12,5,9,female,58651,8600000US58651
12,21,21,female,65255,8600000US65255
12,70,74,male,67140,8600000US67140
12,30,34,female,69131,8600000US69131
12,5,9,male,69211,8600000US69211
12,18,19,female,89179,8600000US89179
13,35,39,male,11956,8600000US11956
13,80,84,female,17260,8600000US17260
13,22,24,male,50471,8600000US50471
13,18,19,female,55385,8600000US55385
13,65,66,female,56671,8600000US56671
13,62,64,male,57359,8600000US57359
13,65,66,male,62473,8600000US62473
13,5,9,female,89821,8600000US89821
14,35,39,male,16054,8600000US16054
14,62,64,female,17768,8600000US17768
14,21,21,male,43718,8600000US43718
14,85,,male,45159,8600000US45159
14,10,14,male,58031,8600000US58031
14,35,39,male,69166,8600000US69166
14,0,4,female,73548,8600000US73548
14,0,4,female,76519,8600000US76519
14,65,66,male,87024,8600000US87024
14,80,84,female,87049,8600000US87049
14,50,54,female,99627,8600000US99627
15,20,20,female,08402,8600000US08402
15,75,79,male,12957,8600000US12957
15,15,17,female,27813,8600000US27813
15,25,29,male,27862,8600000US27862
15,35,39,male,39824,8600000US39824
15,85,,female,42518,8600000US42518
15,22,24,male,47568,8600000US47568
15,65,66,female,49947,8600000US49947
15,67,69,male,53911,8600000US53911
15,10,14,male,57639,8600000US57639
15,21,21,male,62868,8600000US62868
15,10,14,female,78072,8600000US78072
15,55,59,female,99554,8600000US99554
16,65,66,male,04554,8600000US04554
16,60,61,female,13608,8600000US13608
16,22,24,male,13810,8600000US13810
16,18,19,male,29474,8600000US29474
16,67,69,female,39572,8600000US39572
16,55,59,male,41810,8600000US41810
16,35,39,male,56736,8600000US56736
16,45,49,male,61335,8600000US61335
16,55,59,female,65258,8600000US65258
16,18,19,female,66080,8600000US66080
16,75,79,female,68755,8600000US68755
16,,,male,72037,8600000US72037
16,10,14,female,83203,8600000US83203
16,22,24,male,93517,8600000US93517
17,85,,male,04576,8600000US04576
17,0,4,male,25969,8600000US25969
17,20,20,female,35223,8600000US35223
17,45,49,male,38318,8600000US38318
17,85,,male,42372,8600000US42372
17,10,14,female,42762,8600000US42762
17,50,54,female,61312,8600000US61312
17,40,44,male,62671,8600000US62671
17,65,66,male,65591,8600000US65591
17,60,61,male,68933,8600000US68933
17,60,61,female,68967,8600000US68967
17,55,59,female,71630,8600000US71630
17,67,69,male,72568,8600000US72568
18,15,17,male,04758,8600000US04758
18,50,54,female,25005,8600000US25005
18,25,29,male,38475,8600000US38475
18,80,84,female,56713,8600000US56713
18,0,4,male,57428,8600000US57428
18,40,44,male,57566,8600000US57566
18,25,29,female,58740,8600000US58740
18,25,29,female,67657,8600000US67657
18,67,69,male,73017,8600000US73017
18,25,29,female,82515,8600000US82515
18,85,,male,93451,8600000US93451
18,35,39,female,95689,8600000US95689
19,50,54,female,13670,8600000US13670
19,67,69,male,53932,8600000US53932
19,5,9,female,60917,8600000US60917
19,70,74,male,67834,8600000US67834
19,5,9,female,74644,8600000US74644
19,35,39,female,74845,8600000US74845
19,30,34,male,97543,8600000US97543
20,21,21,female,12072,8600000US12072
20,15,17,male,21856,8600000US21856
20,25,29,female,25187,8600000US25187
20,21,21,female,40019,8600000US40019
20,18,19,female,48861,8600000US48861
20,65,66,female,60921,8600000US60921
20,85,,female,73547,8600000US73547
21,85,,male,32058,8600000US32058
21,40,44,male,36775,8600000US36775
21,10,14,female,64430,8600000US64430
21,67,69,male,64866,8600000US64866
21,80,84,male,70450,8600000US70450
22,20,20,male,07043,8600000US07043
22,21,21,female,08343,8600000US08343
22,35,39,female,12824,8600000US12824
22,25,29,female,26169,8600000US26169
22,5,9,female,43437,8600000US43437
22,50,54,male,58735,8600000US58735
22,60,61,female,68745,8600000US68745
22,70,74,female,71456,8600000US71456
23,75,79,female,19373,8600000US19373
23,22,24,female,47941,8600000US47941
23,22,24,female,58622,8600000US58622
24,65,66,male,16350,8600000US16350
24,0,4,female,26167,8600000US26167
24,85,,female,35049,8600000US35049
24,30,34,female,43501,8600000US43501
24,10,14,female,51544,8600000US51544
24,70,74,male,52721,8600000US52721
24,70,74,female,71358,8600000US71358
25,21,21,male,11944,8600000US11944
25,45,49,male,15628,8600000US15628
